#{"t_start": 1776486179.9321058, "env_id": "None"}
r,l,t
2312.453156,100,511.235089
1523.273117,100,511.796108
671.433521,100,512.386213
1245.749889,100,512.973096
1747.784958,100,513.588545
489.658642,100,514.17648
-1896.799854,100,514.756866
317.52029,100,515.339264
1338.056185,100,515.927667
-958.920628,100,516.510054
68.272659,100,517.095661
883.481987,100,517.716715
-883.236385,100,518.320377
3873.372395,100,518.924126
9.692068,100,519.537722
2704.247883,100,520.155878
210.238152,100,549.146905
1945.968113,100,549.459653
2038.805122,100,549.791803
-82.295414,100,550.091617
2087.549423,100,550.374957
-457.887146,100,550.672235
1921.399551,100,550.963606
1493.439194,100,551.25139
-1009.052292,100,551.527477
3946.20644,100,551.815435
1854.542334,100,552.094745
1778.484879,100,552.367359
2134.781902,100,552.645825
3502.000172,100,552.926618
2406.898281,100,553.242821
1005.126572,100,553.561709
2184.568867,100,553.862011
1503.333229,100,554.153197
1706.254715,100,554.450561
755.158676,100,554.726849
394.692528,100,555.003321
2434.869446,100,582.190463
-2865.162773,100,582.77349
-285.536877,100,583.377887
3988.167545,100,583.939137
3403.933022,100,584.501172
1714.767487,100,585.084081
3025.160105,100,585.64391
2647.82478,100,586.244451
-572.372715,100,586.834852
1086.563995,100,587.128239
1181.026321,100,587.504196
3975.428524,100,587.88309
1917.702349,100,588.201177
1113.736589,100,588.463403
-668.698215,100,588.721364
1677.019487,100,588.985013
1012.299112,100,589.248458
1304.703796,100,589.505583
1287.462715,100,589.775675
1005.87801,100,590.062547
1182.043568,100,611.134382
1894.736931,100,611.747131
548.353912,100,612.339583
874.251186,100,612.924365
2679.370481,100,613.530647
526.614128,100,614.103633
803.03117,100,614.683861
1244.178852,100,615.248364
866.340443,100,615.811466
2625.262478,100,616.382534
1347.622087,100,617.443142
2955.435978,100,618.510211
1463.858631,100,620.033467
445.88319,100,621.451101
2558.041126,100,622.089878
1908.091869,100,623.012267
2759.069595,100,623.833274
1825.353758,100,624.485091
1340.375002,100,625.09997
2107.957945,100,625.68181
1682.628551,100,626.26221
2851.726118,100,650.648805
3026.682774,100,651.248265
2616.834774,100,651.870911
2235.187256,100,652.457482
1117.686388,100,653.043176
2786.266144,100,653.640499
1395.260283,100,654.228441
2067.927267,100,654.815109
1184.790035,100,655.404726
1253.3825,100,655.997755
2082.680386,100,656.582659
1230.527573,100,657.19939
1433.951214,100,657.884792
519.227345,100,658.500424
-444.169262,100,659.088764
1290.174191,100,659.821907
1327.396996,100,660.736037
2041.221592,100,661.676054
133.13875,100,662.510007
1982.574478,100,662.866609
1617.305506,100,686.575183
438.598207,100,686.869202
2896.85141,100,687.16368
616.709892,100,687.466752
659.468468,100,687.784179
1406.005806,100,688.130708
2617.063726,100,688.417341
344.142212,100,688.720459
1874.683159,100,688.99656
-933.03545,100,689.291617
1156.572136,100,689.570591
2147.594334,100,689.866565
-70.1506,100,690.157295
1666.19453,100,690.45497
1029.157593,100,690.764137
3030.437309,100,691.057256
-892.991886,100,691.34564
2259.019337,100,691.615047
851.357647,100,691.912499
2816.176023,100,692.489094
3072.383915,100,693.086429
884.514305,100,718.064611
1749.175241,100,718.659427
2245.339165,100,719.244522
2640.148994,100,719.827848
2871.233974,100,720.399727
1048.498779,100,720.973996
2091.936256,100,721.530761
1169.725853,100,722.131973
1649.921013,100,722.698808
-891.786762,100,723.283521
3158.481377,100,723.852368
1946.314953,100,724.415089
1548.59293,100,724.990151
1646.527267,100,725.56443
-170.913857,100,726.151524
1277.331829,100,726.730626
964.140024,100,727.390887
2243.257578,100,728.005261
1618.465744,100,728.592875
3602.953587,100,729.169988
-186.228815,100,755.990757
274.871197,100,757.002819
2472.677881,100,758.372498
2500.041996,100,759.076032
2205.263252,100,759.737301
3205.412872,100,760.416946
2253.985363,100,761.249509
2697.184978,100,761.993781
1170.31418,100,762.825444
1269.495182,100,763.469745
-101.084772,100,764.227498
356.704226,100,765.467781
-1062.356361,100,766.451297
2014.338081,100,767.108014
1448.611656,100,767.923658
2159.835745,100,768.998281
685.671021,100,769.801943
2406.509319,100,770.700027
2009.920876,100,771.770108
907.388893,100,772.792224
349.634039,100,774.194112
1173.581627,100,802.423794
2312.064869,100,803.009791
2534.768345,100,803.594189
2053.329544,100,804.175934
3616.084068,100,804.751345
608.046207,100,805.319493
2047.547684,100,805.884799
376.716276,100,806.466949
1668.640892,100,807.111768
-1006.913345,100,808.231488
1889.732334,100,808.847712
1147.752442,100,809.424625
1266.62737,100,810.049193
3719.055199,100,810.666082
1904.148945,100,811.288755
2421.302814,100,811.885392
2333.779968,100,812.487764
2151.388283,100,813.139638
1960.732193,100,813.739503
2730.201397,100,814.337573
840.889984,100,841.474977
2621.938,100,842.146404
605.457039,100,842.977466
3114.881355,100,843.631774
1206.708637,100,844.273992
3026.462809,100,845.032196
3010.339102,100,845.921255
2185.22512,100,847.28366
3493.090858,100,847.963563
1819.056889,100,848.417295
2110.560017,100,848.711545
2520.836536,100,848.99334
995.58633,100,849.27482
2060.926918,100,849.542105
925.793137,100,849.809412
-508.593754,100,850.234741
1347.888062,100,850.827267
1775.322273,100,851.416477
3783.8151,100,852.021423
-435.470352,100,852.596635
3435.477676,100,853.163092
1681.078842,100,878.381553
-1065.746346,100,879.064836
68.398085,100,879.692076
2994.652344,100,880.362095
38.684555,100,880.998878
2817.449024,100,881.580815
1685.720825,100,882.178038
2459.774609,100,882.786594
260.478771,100,883.411207
1086.700974,100,884.038901
2153.84269,100,884.756021
2079.363297,100,885.386415
1122.855825,100,885.973918
3676.644283,100,886.56775
2358.56966,100,887.184892
2622.929035,100,887.801499
1834.201654,100,888.442096
1251.29558,100,889.036051
-46.918324,100,889.639076
1700.988369,100,890.23095
1364.359133,100,914.50425
1836.438271,100,915.152307
2461.088673,100,916.790647
2561.830448,100,919.529404
3926.513527,100,920.623478
